id;post_id;random;closedate;closetime;open;rand;multi;disable_comments;vote_sum;last_updated
48;108525;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";831;2025-11-20 13:29:09
49;108534;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";621;2025-11-20 13:29:09
50;108542;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";92;2025-11-20 13:29:09
52;108574;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";667;2025-11-20 13:29:09
54;108615;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";429;2025-11-20 13:29:09
55;108618;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";39;2025-11-20 13:29:09
56;108647;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";52;2025-11-20 13:29:09
57;108707;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";35;2025-11-20 13:29:09
58;108737;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";31;2025-11-20 13:29:09
61;108886;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";41;2025-11-20 13:29:09
65;109065;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";69;2025-11-20 13:29:09
67;109083;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";72;2025-11-20 13:29:09
68;109088;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";35;2025-11-20 13:29:09
69;109090;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";33;2025-11-20 13:29:09
70;109093;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";203;2025-11-20 13:29:09
71;109095;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";222;2025-11-20 13:29:09
72;109097;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";26;2025-11-20 13:29:09
73;109100;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";67;2025-11-20 13:29:09
79;100225;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";576;2025-11-20 13:29:09
81;100225;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";576;2025-11-20 13:29:09
82;100225;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";576;2025-11-20 13:29:09
83;100225;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";576;2025-11-20 13:29:09
87;109100;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";67;2025-11-20 13:29:09
88;105351;1;"0000-00-00";"00:00:00";"0";"";"0";"0";1875;2025-11-20 13:29:09
90;81299;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";605;2025-11-20 13:29:09
91;104199;1;"0000-00-00";"00:00:00";"0";"";"0";"0";76;2025-11-20 13:29:09
92;100225;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";576;2025-11-20 13:29:09
93;105360;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";267;2025-11-20 13:29:09
94;107012;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";830;2025-11-20 13:29:09
96;102357;1;"0000-00-00";"00:00:00";"0";"";"0";"0";106;2025-11-20 13:29:09
97;102372;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";160;2025-11-20 13:29:09
98;107025;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";107;2025-11-20 13:29:09
99;106488;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";176;2025-11-20 13:29:09
100;106393;1;"0000-00-00";"00:00:00";"0";"";"0";"0";47;2025-11-20 13:29:09
101;106273;1;"0000-00-00";"00:00:00";"0";"";"0";"0";49;2025-11-20 13:29:09
103;105353;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";130;2025-11-20 13:29:09
105;105321;1;"0000-00-00";"00:00:00";"0";"";"0";"0";41;2025-11-20 13:29:09
108;105154;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";92;2025-11-20 13:29:09
109;105047;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";637;2025-11-20 13:29:09
110;104811;1;"0000-00-00";"00:00:00";"0";"";"0";"0";53;2025-11-20 13:29:09
111;104086;1;"0000-00-00";"00:00:00";"0";"";"0";"0";33;2025-11-20 13:29:09
112;104809;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";88;2025-11-20 13:29:09
113;104788;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";129;2025-11-20 13:29:09
118;103277;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";55;2025-11-20 13:29:09
119;102670;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";21;2025-11-20 13:29:09
120;102365;1;"0000-00-00";"00:00:00";"0";"";"0";"0";76;2025-11-20 13:29:09
122;102362;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";420;2025-11-20 13:29:09
123;102268;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";72;2025-11-20 13:29:09
124;102072;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";289;2025-11-20 13:29:09
125;101893;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";235;2025-11-20 13:29:09
126;100900;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";101;2025-11-20 13:29:09
127;86519;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";55;2025-11-20 13:29:09
128;84635;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";281;2025-11-20 13:29:09
129;82902;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";191;2025-11-20 13:29:09
131;103965;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";20;2025-11-20 13:29:09
132;102433;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";19;2025-11-20 13:29:09
133;102382;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";71;2025-11-20 13:29:09
134;102378;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";49;2025-11-20 13:29:09
135;84404;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";48;2025-11-20 13:29:09
136;84184;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";224;2025-11-20 13:29:09
137;83726;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";68;2025-11-20 13:29:09
138;82016;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";353;2025-11-20 13:29:09
139;81299;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";605;2025-11-20 13:29:09
140;100748;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";101;2025-11-20 13:29:09
142;86519;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";55;2025-11-20 13:29:09
144;104791;1;"0000-00-00";"00:00:00";"0";"";"0";"0";20;2025-11-20 13:29:09
146;101849;1;"0000-00-00";"00:00:00";"0";"";"0";"0";98;2025-11-20 13:29:09
147;86519;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";55;2025-11-20 13:29:09
148;109233;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";407;2025-11-20 13:29:09
149;109238;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";46;2025-11-20 13:29:09
150;109240;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";22;2025-11-20 13:29:09
151;109242;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";31;2025-11-20 13:29:09
152;109244;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";58;2025-11-20 13:29:09
153;109246;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";77;2025-11-20 13:29:09
154;109248;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";39;2025-11-20 13:29:09
155;109252;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";65;2025-11-20 13:29:09
156;109258;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";52;2025-11-20 13:29:09
157;109268;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";206;2025-11-20 13:29:09
159;109278;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";92;2025-11-20 13:29:09
160;109236;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";102;2025-11-20 13:29:09
161;109325;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";37;2025-11-20 13:29:09
162;109327;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";49;2025-11-20 13:29:09
164;109342;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";449;2025-11-20 13:29:09
166;109357;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";414;2025-11-20 13:29:09
167;109360;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";1954;2025-11-20 13:29:09
173;81572;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";41;2025-11-20 13:29:09
174;109677;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";55;2025-11-20 13:29:09
175;109679;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";90;2025-11-20 13:29:09
176;109681;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";44;2025-11-20 13:29:09
177;109683;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";62;2025-11-20 13:29:09
178;109685;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";253;2025-11-20 13:29:09
179;109687;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";496;2025-11-20 13:29:09
180;109689;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";43;2025-11-20 13:29:09
181;109691;1;"0000-00-00";"00:00:00";"0";"";"0";"0";46;2025-11-20 13:29:09
182;109693;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";654;2025-11-20 13:29:09
183;109696;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";142;2025-11-20 13:29:09
184;109698;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";433;2025-11-20 13:29:09
185;109700;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";47;2025-11-20 13:29:09
186;109702;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";26;2025-11-20 13:29:09
187;109705;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";59;2025-11-20 13:29:09
190;109725;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";39;2025-11-20 13:29:09
192;109733;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";356;2025-11-20 13:29:09
193;109744;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";349;2025-11-20 13:29:09
194;109761;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";29;2025-11-20 13:29:09
195;109764;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";42;2025-11-20 13:29:09
196;109766;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";35;2025-11-20 13:29:09
197;109769;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";75;2025-11-20 13:29:09
198;109771;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";52;2025-11-20 13:29:09
200;109775;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";27;2025-11-20 13:29:09
201;109780;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";47;2025-11-20 13:29:09
202;109791;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";44;2025-11-20 13:29:09
203;109793;1;"0000-00-00";"00:00:00";"0";"";"0";"0";24;2025-11-20 13:29:09
204;109796;1;"0000-00-00";"00:00:00";"0";"";"0";"0";54;2025-11-20 13:29:09
205;109804;1;"0000-00-00";"00:00:00";"0";"";"0";"0";139;2025-11-20 13:29:09
206;109806;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";33;2025-11-20 13:29:09
207;109808;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";33;2025-11-20 13:29:09
208;109813;1;"0000-00-00";"00:00:00";"0";"";"0";"0";48;2025-11-20 13:29:09
210;109822;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";40;2025-11-20 13:29:09
211;109824;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";43;2025-11-20 13:29:09
214;109882;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";605;2025-11-20 13:29:09
215;109884;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";48;2025-11-20 13:29:09
216;109912;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";49;2025-11-20 13:29:09
217;109929;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";33;2025-11-20 13:29:09
218;109931;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";43;2025-11-20 13:29:09
219;109933;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";43;2025-11-20 13:29:09
228;110172;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";317;2025-11-20 13:29:09
231;110237;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";66;2025-11-20 13:29:09
233;110249;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";52;2025-11-20 13:29:09
234;110255;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";605;2025-11-20 13:29:09
236;110276;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";107;2025-11-20 13:29:09
254;110344;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";40;2025-11-20 13:29:09
255;110346;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";60;2025-11-20 13:29:09
256;110348;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";3378;2025-12-09 01:17:58
257;110353;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";153;2025-11-20 13:29:09
258;82723;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";778;2025-11-20 13:29:09
261;83282;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";455;2025-11-20 13:29:09
266;104990;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";55;2025-11-20 13:29:09
267;83560;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";391;2025-11-20 13:29:09
268;110357;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";801;2025-11-20 13:29:09
269;110359;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";30;2025-11-20 13:29:09
271;110366;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";27;2025-11-20 13:29:09
272;110370;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";156;2025-11-20 13:29:09
275;110377;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";18;2025-11-20 13:29:09
277;110384;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";39;2025-11-20 13:29:09
278;110386;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";19;2025-11-20 13:29:09
279;110388;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";40;2025-11-20 13:29:09
283;110398;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";44;2025-11-20 13:29:09
286;110405;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";37;2025-11-20 13:29:09
287;110407;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";21;2025-11-20 13:29:09
289;110411;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";60;2025-11-20 13:29:09
291;110415;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";7;2025-11-20 13:29:09
293;110419;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";38;2025-11-20 13:29:09
295;110426;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";52;2025-11-20 13:29:09
297;110430;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";492;2025-11-20 13:29:09
298;110432;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";30;2025-11-20 13:29:09
300;110440;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";3;2025-11-20 13:29:09
304;110460;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";37;2025-11-20 13:29:09
307;110468;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";47;2025-11-20 13:29:09
308;110474;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";611;2025-11-20 13:29:09
309;110476;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";436;2025-11-20 13:29:09
310;110478;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";436;2025-11-20 13:29:09
311;110480;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";567;2025-11-20 13:29:09
314;110492;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";542;2025-11-20 13:29:09
315;110494;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";52;2025-11-20 13:29:09
323;110518;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";41;2025-11-20 13:29:09
327;110527;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";57;2025-11-20 13:29:09
328;110529;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";626;2025-11-20 13:29:09
329;110532;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";465;2025-11-20 13:29:09
332;110542;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";43;2025-11-20 13:29:09
333;83588;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";439;2025-11-20 13:29:09
334;84152;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";432;2025-11-20 13:29:09
340;110562;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";18;2025-11-20 13:29:09
341;110573;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";55;2025-11-20 13:29:09
345;110599;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";69;2025-11-20 13:29:09
346;110619;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";31;2025-11-20 13:29:09
347;110622;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";55;2025-11-20 13:29:09
348;110629;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";38;2025-11-20 13:29:09
349;110635;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";45;2025-11-20 13:29:09
350;110637;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";31;2025-11-20 13:29:09
351;110654;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";35;2025-11-20 13:29:09
352;110656;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";74;2025-11-20 13:29:09
353;110658;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";48;2025-11-20 13:29:09
354;110660;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";34;2025-11-20 13:29:09
356;110673;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";25;2025-11-20 13:29:09
357;110675;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";50;2025-11-20 13:29:09
358;110677;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";36;2025-11-20 13:29:09
359;110679;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";54;2025-11-20 13:29:09
363;110697;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";32;2025-11-20 13:29:09
364;110702;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";50;2025-11-20 13:29:09
369;110723;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";35;2025-11-20 13:29:09
375;110478;1;"0000-00-00";"00:00:00";"0";"";"0";"0";436;2025-11-20 13:29:09
377;110746;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";98;2025-11-20 13:29:09
378;110750;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";38;2025-11-20 13:29:09
379;110752;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";117;2025-11-20 13:29:09
382;110765;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";326;2025-11-20 13:29:09
384;110783;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";88;2025-11-20 13:29:09
388;110791;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";56;2025-11-20 13:29:09
393;110819;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";41;2025-11-20 13:29:09
400;110855;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";37;2025-11-20 13:29:09
401;110857;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";38;2025-11-20 13:29:09
405;110867;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";15;2025-11-20 13:29:09
406;110877;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";335;2025-11-20 13:29:09
409;110893;1;"0000-00-00";"00:00:00";"0";"";"0";"0";318;2025-11-20 13:29:09
410;110900;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";44;2025-11-20 13:29:09
411;110719;1;"0000-00-00";"00:00:00";"0";"";"0";"0";36;2025-11-20 13:29:09
412;110904;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";534;2025-11-20 13:29:09
419;110919;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";846;2025-11-20 13:29:09
423;110945;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";35;2025-11-20 13:29:09
425;110952;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";45;2025-11-20 13:29:09
426;110959;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";52;2025-11-20 13:29:09
427;110407;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";21;2025-11-20 13:29:09
428;110962;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";331;2025-11-20 13:29:09
429;110969;1;"0000-00-00";"00:00:00";"0";"";"0";"0";40;2025-11-20 13:29:09
431;107196;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";582;2025-11-20 13:29:09
432;110527;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";57;2025-11-20 13:29:09
433;110974;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";332;2025-11-20 13:29:09
434;83282;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";455;2025-11-20 13:29:09
435;83203;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";302;2025-11-20 13:29:09
436;83588;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";439;2025-11-20 13:29:09
438;110430;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";492;2025-11-20 13:29:09
440;110679;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";54;2025-11-20 13:29:09
442;110999;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";36;2025-11-20 13:29:09
443;111001;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";32;2025-11-20 13:29:09
445;111011;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";48;2025-11-20 13:29:09
448;111019;1;"0000-00-00";"00:00:00";"0";"";"0";"0";70;2025-11-20 13:29:09
450;111029;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";50;2025-11-20 13:29:09
455;111041;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";35;2025-11-20 13:29:09
457;111045;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";265;2025-11-20 13:29:09
459;111050;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";26;2025-11-20 13:29:09
462;111057;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";99;2025-11-20 13:29:09
464;110677;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";36;2025-11-20 13:29:09
465;111071;1;"0000-00-00";"00:00:00";"0";"";"0";"0";25;2025-11-20 13:29:09
466;111073;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";77;2025-11-20 13:29:09
467;111075;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";23;2025-11-20 13:29:09
468;111077;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";480;2025-11-20 13:29:09
470;83196;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";60;2025-11-20 13:29:09
471;111084;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";76;2025-11-20 13:29:09
472;111086;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";17;2025-11-20 13:29:09
473;111088;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";835;2025-11-20 13:29:09
475;111092;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";33;2025-11-20 13:29:09
476;111094;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";17;2025-11-20 13:29:09
477;111096;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";25;2025-11-20 13:29:09
478;111098;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";84;2025-11-20 13:29:09
479;111100;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";51;2025-11-20 13:29:09
480;111102;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";53;2025-11-20 13:29:09
481;111104;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";45;2025-11-20 13:29:09
482;111106;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";21;2025-11-20 13:29:09
483;111108;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";18;2025-11-20 13:29:09
484;111110;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";19;2025-11-20 13:29:09
485;111112;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";23;2025-11-20 13:29:09
487;111116;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";36;2025-11-20 13:29:09
488;111118;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";41;2025-11-20 13:29:09
489;111121;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";40;2025-11-20 13:29:09
