id;search_keyword;search_date;search_count;unique_users;avg_result_count;created_at;updated_at
3570;Twitter;2023-12-05;3;1;"0.00";2023-12-05 00:00:00;
3571;Twitter;2023-12-18;1;1;"0.00";2023-12-18 00:00:00;
3572;twitter;2023-12-30;1;1;"0.00";2023-12-30 00:00:00;
3573;tyokin;2020-08-24;2;1;"0.00";2020-08-24 00:00:00;
3574;Tバック;2020-10-19;1;1;"0.00";2020-10-19 00:00:00;
3575;Tバック;2022-06-22;1;1;"0.00";2022-06-22 00:00:00;
3576;Tバック;2022-09-10;1;1;"0.00";2022-09-10 00:00:00;
3577;Tバック;2023-03-07;1;1;"0.00";2023-03-07 00:00:00;
3578;Tバック;2023-03-27;1;1;"0.00";2023-03-27 00:00:00;
3579;Tバック;2023-03-28;1;1;"0.00";2023-03-28 00:00:00;
3580;Tバック;2023-04-06;1;1;"0.00";2023-04-06 00:00:00;
3581;Tバック;2023-04-18;1;1;"0.00";2023-04-18 00:00:00;
3582;Tポイント;2024-01-09;1;1;"0.00";2024-01-09 00:00:00;
3583;Tポイント;2024-01-14;1;1;"0.00";2024-01-14 00:00:00;
3584;Uber;2020-10-15;1;1;"0.00";2020-10-15 00:00:00;
3585;UFO;2023-11-20;1;1;"0.00";2023-11-20 00:00:00;
3586;UNIQLO;2023-12-12;1;1;"0.00";2023-12-12 00:00:00;
3587;USJ;2023-09-22;1;1;"0.00";2023-09-22 00:00:00;
3588;USJ;2024-03-31;1;1;"0.00";2024-03-31 00:00:00;
3589;UV;2024-11-13;1;1;"0.00";2024-11-13 00:00:00;
3590;UV;2025-02-26;1;1;"0.00";2025-02-26 00:00:00;
3591;vine;2025-01-01;1;1;"0.00";2025-01-01 00:00:00;
3592;VIO;2020-09-22;1;1;"0.00";2020-09-22 00:00:00;
3593;VIVANT;2023-09-13;1;1;"0.00";2023-09-13 00:00:00;
3594;VOISING;2024-01-20;1;1;"0.00";2024-01-20 00:00:00;
3595;vr;2021-07-21;2;1;"0.00";2021-07-21 00:00:00;
3596;VR;2023-10-10;1;1;"0.00";2023-10-10 00:00:00;
3597;Vtuber;2023-11-10;1;1;"0.00";2023-11-10 00:00:00;
3598;Vポイント;2024-04-22;1;1;"0.00";2024-04-22 00:00:00;
3599;Vポイント;2024-05-23;3;1;"0.00";2024-05-23 00:00:00;
3600;vポイント;2024-05-24;2;1;"0.00";2024-05-24 00:00:00;
3601;vポイント;2024-05-25;1;1;"0.00";2024-05-25 00:00:00;
3602;Vポイント;2024-06-17;1;1;"0.00";2024-06-17 00:00:00;
3603;vポイント;2024-06-23;5;1;"0.00";2024-06-23 00:00:00;
3604;Vポイント;2025-02-25;1;1;"0.00";2025-02-25 00:00:00;
3605;vポイント;2025-02-26;1;1;"0.00";2025-02-26 00:00:00;
3606;wands;2023-11-26;2;1;"0.00";2023-11-26 00:00:00;
3607;WAON;2024-04-22;1;1;"0.00";2024-04-22 00:00:00;
3608;WAON;2024-04-23;1;1;"0.00";2024-04-23 00:00:00;
3609;WAON;2024-05-03;1;1;"0.00";2024-05-03 00:00:00;
3610;WAON;2024-05-06;1;1;"0.00";2024-05-06 00:00:00;
3611;WAON;2024-08-28;1;1;"0.00";2024-08-28 00:00:00;
3612;WAON;2024-10-05;1;1;"0.00";2024-10-05 00:00:00;
3613;WAON;2024-10-18;1;1;"0.00";2024-10-18 00:00:00;
3614;WAON;2024-10-24;1;1;"0.00";2024-10-24 00:00:00;
3615;WAON;2024-11-02;1;1;"0.00";2024-11-02 00:00:00;
3616;WAON;2024-11-09;1;1;"0.00";2024-11-09 00:00:00;
3617;WAON;2024-11-13;1;1;"0.00";2024-11-13 00:00:00;
3618;waon;2024-12-03;3;1;"0.00";2024-12-03 00:00:00;
3619;WAON;2025-02-27;1;1;"0.00";2025-02-27 00:00:00;
3620;WAON;2025-03-10;1;1;"0.00";2025-03-10 00:00:00;
3621;WAON;2025-04-01;1;1;"0.00";2025-04-01 00:00:00;
3622;WESTERポイント;2024-02-19;1;1;"0.00";2024-02-19 00:00:00;
3623;Wi;2024-05-26;1;1;"0.00";2024-05-26 00:00:00;
3624;Wi-Fi;2023-12-10;1;1;"0.00";2023-12-10 00:00:00;
3625;Wi-Fi;2023-12-19;1;1;"0.00";2023-12-19 00:00:00;
3626;Wi-Fi;2024-01-06;1;1;"0.00";2024-01-06 00:00:00;
3627;Wi-Fi;2024-05-26;3;1;"0.00";2024-05-26 00:00:00;
3628;Wi-Fi;2025-02-24;1;1;"0.00";2025-02-24 00:00:00;
3629;WiFi;2024-05-26;1;1;"0.00";2024-05-26 00:00:00;
3630;wikipedia;2024-05-30;1;1;"0.00";2024-05-30 00:00:00;
3631;WIN5;2024-05-12;1;1;"0.00";2024-05-12 00:00:00;
3632;www.ymwears.cn;2022-07-21;5;1;"0.00";2022-07-21 00:00:00;
3633;www.ymwears.cn;2022-07-22;3;1;"0.00";2022-07-22 00:00:00;
3634;www.ymwears.cn;2022-07-23;3;1;"0.00";2022-07-23 00:00:00;
3635;Wワーク;2024-02-07;1;1;"0.00";2024-02-07 00:00:00;
3636;X;2023-08-24;1;1;"0.00";2023-08-24 00:00:00;
3637;X;2023-09-16;1;1;"0.00";2023-09-16 00:00:00;
3638;yahoo;2024-11-29;4;1;"0.00";2024-11-29 00:00:00;
3639;Yahoo!;2023-12-18;1;1;"0.00";2023-12-18 00:00:00;
3640;yahooニュース;2024-11-29;1;1;"0.00";2024-11-29 00:00:00;
3641;YELLOW;2023-09-23;1;1;"0.00";2023-09-23 00:00:00;
3642;YELLOW;2023-11-18;1;1;"0.00";2023-11-18 00:00:00;
3643;yoasobi;2023-08-22;1;1;"0.00";2023-08-22 00:00:00;
3644;yoasobi;2023-11-23;3;1;"0.00";2023-11-23 00:00:00;
3645;YOASOBI;2023-11-25;1;1;"0.00";2023-11-25 00:00:00;
3646;YOASOBI;2023-11-28;2;1;"0.00";2023-11-28 00:00:00;
3647;yoasobi;2023-12-03;1;1;"0.00";2023-12-03 00:00:00;
3648;YOASOBI;2023-12-31;1;1;"0.00";2023-12-31 00:00:00;
3649;yogibo;2023-12-26;1;1;"0.00";2023-12-26 00:00:00;
3650;yogibo;2023-12-27;1;1;"0.00";2023-12-27 00:00:00;
3651;yogibo-;2023-12-26;1;1;"0.00";2023-12-26 00:00:00;
3652;yogibo-;2023-12-27;1;1;"0.00";2023-12-27 00:00:00;
3653;YouTube;2020-10-09;1;1;"0.00";2020-10-09 00:00:00;
3654;youtube;2021-05-03;2;1;"0.00";2021-05-03 00:00:00;
3655;Youtube;2022-02-11;1;1;"0.00";2022-02-11 00:00:00;
3656;youtube;2022-05-10;1;1;"0.00";2022-05-10 00:00:00;
3657;youtube;2022-05-21;1;1;"0.00";2022-05-21 00:00:00;
3658;youtube;2022-06-07;1;1;"0.00";2022-06-07 00:00:00;
3659;youtube;2022-08-26;1;1;"0.00";2022-08-26 00:00:00;
3660;youtube;2022-10-03;1;1;"0.00";2022-10-03 00:00:00;
3661;youtube;2022-12-21;1;1;"0.00";2022-12-21 00:00:00;
3662;YouTube;2023-09-13;1;1;"0.00";2023-09-13 00:00:00;
3663;YouTube;2023-10-30;1;1;"0.00";2023-10-30 00:00:00;
3664;YouTube;2023-11-22;2;1;"0.00";2023-11-22 00:00:00;
3665;YouTube;2023-11-24;1;1;"0.00";2023-11-24 00:00:00;
3666;YouTube;2023-11-25;1;1;"0.00";2023-11-25 00:00:00;
3667;YouTube;2023-12-01;1;1;"0.00";2023-12-01 00:00:00;
3668;YouTube;2023-12-02;5;1;"0.00";2023-12-02 00:00:00;
3669;youtube;2023-12-06;1;1;"0.00";2023-12-06 00:00:00;
3670;Youtube;2023-12-15;1;1;"0.00";2023-12-15 00:00:00;
3671;YouTube;2023-12-17;1;1;"0.00";2023-12-17 00:00:00;
3672;youtube;2024-01-07;1;1;"0.00";2024-01-07 00:00:00;
3673;youtube;2024-06-03;10;1;"0.00";2024-06-03 00:00:00;
3674;youtube;2024-06-13;1;1;"0.00";2024-06-13 00:00:00;
3675;youtube;2024-06-14;1;1;"0.00";2024-06-14 00:00:00;
3676;youtube;2024-06-17;1;1;"0.00";2024-06-17 00:00:00;
3677;YouTube;2024-10-21;3;1;"0.00";2024-10-21 00:00:00;
3678;youtube;2024-11-29;5;1;"0.00";2024-11-29 00:00:00;
3679;YouTuber;2020-09-22;1;1;"0.00";2020-09-22 00:00:00;
3680;youtuber;2020-12-10;1;1;"0.00";2020-12-10 00:00:00;
3681;youtuber;2020-12-21;1;1;"0.00";2020-12-21 00:00:00;
3682;youtuber;2022-06-26;1;1;"0.00";2022-06-26 00:00:00;
3683;youtuber;2022-07-01;1;1;"0.00";2022-07-01 00:00:00;
3684;youtuber;2022-07-10;1;1;"0.00";2022-07-10 00:00:00;
3685;youtuber;2022-08-02;1;1;"0.00";2022-08-02 00:00:00;
3686;youtuber;2022-08-17;1;1;"0.00";2022-08-17 00:00:00;
3687;youtuber;2022-09-14;1;1;"0.00";2022-09-14 00:00:00;
3688;youtuber;2022-09-21;1;1;"0.00";2022-09-21 00:00:00;
3689;youtuber;2022-09-30;1;1;"0.00";2022-09-30 00:00:00;
3690;youtuber;2022-10-24;1;1;"0.00";2022-10-24 00:00:00;
3691;youtuber;2022-11-08;1;1;"0.00";2022-11-08 00:00:00;
3692;youtuber;2022-11-25;1;1;"0.00";2022-11-25 00:00:00;
3693;youtuber;2022-12-15;1;1;"0.00";2022-12-15 00:00:00;
3694;youtuber;2022-12-21;1;1;"0.00";2022-12-21 00:00:00;
3695;youtuber;2023-03-26;1;1;"0.00";2023-03-26 00:00:00;
3696;youtuber;2023-04-07;3;1;"0.00";2023-04-07 00:00:00;
3697;youtuber;2023-04-09;1;1;"0.00";2023-04-09 00:00:00;
3698;youtuber;2023-04-13;2;1;"0.00";2023-04-13 00:00:00;
3699;youtuber;2023-06-03;1;1;"0.00";2023-06-03 00:00:00;
3700;YouTuber;2023-12-15;1;1;"0.00";2023-12-15 00:00:00;
3701;youtuber;2024-02-19;1;1;"0.00";2024-02-19 00:00:00;
3702;Yumemi;2024-06-18;2;1;"0.00";2024-06-18 00:00:00;
3703;ZENB;2024-01-09;1;1;"0.00";2024-01-09 00:00:00;
3704;Ȥζ;2022-08-17;1;1;"0.00";2022-08-17 00:00:00;
3705;βテスト;2024-03-14;1;1;"0.00";2024-03-14 00:00:00;
3706;…;2020-08-06;2;1;"0.00";2020-08-06 00:00:00;
3707;…?s=…;2021-05-31;1;1;"0.00";2021-05-31 00:00:00;
3708;…?s=…;2021-06-18;1;1;"0.00";2021-06-18 00:00:00;
3709;…?s=…;2021-07-13;1;1;"0.00";2021-07-13 00:00:00;
3710;…?s=…;2021-08-03;1;1;"0.00";2021-08-03 00:00:00;
3717;○○だけ;2023-09-19;1;1;"0.00";2023-09-19 00:00:00;
3721;⛏ Reminder: Operation №ZZ24. WITHDRAW > https://ou;2024-08-12;1;1;"0.00";2024-08-12 00:00:00;
3722;⛏ We send a gift from us. Take =>> https://out.car;2024-08-12;1;1;"0.00";2024-08-12 00:00:00;
3729;、好きですか？;2024-01-07;4;1;"0.00";2024-01-07 00:00:00;
3730;、好きですか？;2024-01-08;8;1;"0.00";2024-01-08 00:00:00;
3731;、好きですか？;2024-01-09;6;1;"0.00";2024-01-09 00:00:00;
3732;、好きですか？;2024-01-10;1;1;"0.00";2024-01-10 00:00:00;
3733;、好きですか？;2024-01-11;1;1;"0.00";2024-01-11 00:00:00;
3734;、好きですか？;2024-01-17;4;1;"0.00";2024-01-17 00:00:00;
3735;、好きですか？;2024-01-22;1;1;"0.00";2024-01-22 00:00:00;
3736;、好きですか？;2024-01-25;1;1;"0.00";2024-01-25 00:00:00;
3737;、好きですか？;2024-01-26;2;1;"0.00";2024-01-26 00:00:00;
3738;、好きですか？;2024-01-28;1;1;"0.00";2024-01-28 00:00:00;
3739;、好きですか？;2024-01-29;1;1;"0.00";2024-01-29 00:00:00;
3740;、好きですか？;2024-01-30;1;1;"0.00";2024-01-30 00:00:00;
3741;「恋人にしたい」出身大学;2020-10-12;1;1;"0.00";2020-10-12 00:00:00;
3742;【婚活中男女限定】おすすめのマッチングアプリはどこですか？;2024-12-10;2;1;"0.00";2024-12-10 00:00:00;
3743;【婚活中男女限定】おすすめのマッチングアプリはどこですか？pick;2024-12-10;3;1;"0.00";2024-12-10 00:00:00;
3744;【究極の2択】;2023-05-26;1;1;"0.00";2023-05-26 00:00:00;
3745;【紅白】約5分の演出;2025-01-28;1;1;"0.00";2025-01-28 00:00:00;
3747;〜もうすぐ結婚するのに;2022-03-11;1;1;"0.00";2022-03-11 00:00:00;
3748;あ;2024-06-29;1;1;"0.00";2024-06-29 00:00:00;
3749;あ;2025-02-07;2;1;"0.00";2025-02-07 00:00:00;
3750;あああ;2024-01-07;1;1;"0.00";2024-01-07 00:00:00;
3751;あああ;2024-11-12;1;1;"0.00";2024-11-12 00:00:00;
3752;あおり運転;2023-09-19;1;1;"0.00";2023-09-19 00:00:00;
3753;あご;2024-01-24;1;1;"0.00";2024-01-24 00:00:00;
3754;あだ名;2023-09-21;1;1;"0.00";2023-09-21 00:00:00;
3755;あつ森;2020-09-23;1;1;"0.00";2020-09-23 00:00:00;
3756;あつ森;2020-10-10;1;1;"0.00";2020-10-10 00:00:00;
3757;あなた 年;2023-08-27;2;1;"0.00";2023-08-27 00:00:00;
3758;あなたが好き;2023-07-09;1;1;"0.00";2023-07-09 00:00:00;
3759;あなたの外見は１０点中何点ですか？;2020-10-06;1;1;"0.00";2020-10-06 00:00:00;
3760;あなたの顔;2021-01-09;2;1;"0.00";2021-01-09 00:00:00;
3761;あなたは誰ですか？;2023-05-16;1;1;"0.00";2023-05-16 00:00:00;
3762;あびる;2023-01-21;2;1;"0.00";2023-01-21 00:00:00;
3763;あぶない;2023-11-02;1;1;"0.00";2023-11-02 00:00:00;
3764;あぶない刑事;2023-09-16;3;1;"0.00";2023-09-16 00:00:00;
3765;あぶない刑事;2023-09-18;4;1;"0.00";2023-09-18 00:00:00;
3766;あぶない刑事;2023-09-20;1;1;"0.00";2023-09-20 00:00:00;
3767;あぶない刑事;2023-10-11;1;1;"0.00";2023-10-11 00:00:00;
3768;あぶない刑事;2023-10-18;1;1;"0.00";2023-10-18 00:00:00;
3769;あぶらとり紙;2024-01-13;1;1;"0.00";2024-01-13 00:00:00;
3770;あぷり;2024-06-28;2;1;"0.00";2024-06-28 00:00:00;2025-11-11 11:06:40
3771;あられちゃん;2023-10-09;2;1;"0.00";2023-10-09 00:00:00;
3772;あら汁;2023-10-08;1;1;"0.00";2023-10-08 00:00:00;
3773;ありがとう;2024-01-27;1;1;"0.00";2024-01-27 00:00:00;
3774;あんけーと;2022-06-24;2;1;"0.00";2022-06-24 00:00:00;2025-11-11 11:06:40
3775;あんこ;2023-11-29;1;1;"0.00";2023-11-29 00:00:00;
3776;あんぱん;2023-10-20;1;1;"0.00";2023-10-20 00:00:00;
3777;いかにんじん;2023-12-26;1;1;"0.00";2023-12-26 00:00:00;
3778;いか徳利;2024-01-25;1;1;"0.00";2024-01-25 00:00:00;
3779;いきなりステーキ;2024-01-16;1;1;"0.00";2024-01-16 00:00:00;
3780;いくら;2023-12-10;1;1;"0.00";2023-12-10 00:00:00;
3781;いじめ;2023-10-11;1;1;"0.00";2023-10-11 00:00:00;
3782;いじめ;2023-10-13;1;1;"0.00";2023-10-13 00:00:00;
3783;いじめ;2023-12-11;1;1;"0.00";2023-12-11 00:00:00;
3784;いじめ;2023-12-13;1;1;"0.00";2023-12-13 00:00:00;
3785;いじめ;2023-12-15;1;1;"0.00";2023-12-15 00:00:00;
3786;いじめ;2023-12-25;4;1;"0.00";2023-12-25 00:00:00;
3787;いじめ;2023-12-26;1;1;"0.00";2023-12-26 00:00:00;
3788;いじめ;2023-12-30;1;1;"0.00";2023-12-30 00:00:00;
3789;いじめ;2024-01-04;1;1;"0.00";2024-01-04 00:00:00;
3790;いじめ;2024-01-06;1;1;"0.00";2024-01-06 00:00:00;
3791;いじめ;2024-01-10;1;1;"0.00";2024-01-10 00:00:00;
3792;いじめ;2024-01-12;1;1;"0.00";2024-01-12 00:00:00;
3793;いじめ;2024-01-28;1;1;"0.00";2024-01-28 00:00:00;
3794;いちご;2024-01-09;4;1;"0.00";2024-01-09 00:00:00;2025-11-11 11:06:40
3795;いちご;2024-01-10;1;1;"0.00";2024-01-10 00:00:00;
3796;いちご狩り;2024-01-09;1;1;"0.00";2024-01-09 00:00:00;
3797;いちご飴;2024-01-14;1;1;"0.00";2024-01-14 00:00:00;
3798;いちゃいちゃ;2023-04-30;1;1;"0.00";2023-04-30 00:00:00;
3799;いなご;2024-01-13;2;1;"0.00";2024-01-13 00:00:00;2025-11-11 11:06:40
3800;いびき;2022-09-21;1;1;"0.00";2022-09-21 00:00:00;
3801;いぶりがっこ;2024-01-17;1;1;"0.00";2024-01-17 00:00:00;
3802;いらすとや;2023-10-16;1;1;"0.00";2023-10-16 00:00:00;
3803;いらすとや;2023-11-03;2;1;"0.00";2023-11-03 00:00:00;
3804;いらない;2024-04-22;1;1;"0.00";2024-04-22 00:00:00;
3805;うずら卵;2023-12-30;1;1;"0.00";2023-12-30 00:00:00;
3806;うち豚;2023-11-22;1;1;"0.00";2023-11-22 00:00:00;
3807;うつ;2020-10-13;1;1;"0.00";2020-10-13 00:00:00;
3808;うつ;2020-12-25;2;1;"0.00";2020-12-25 00:00:00;
3809;うつ;2020-12-28;1;1;"0.00";2020-12-28 00:00:00;
3810;うつ;2020-12-31;1;1;"0.00";2020-12-31 00:00:00;
3811;うつ;2021-01-03;1;1;"0.00";2021-01-03 00:00:00;
3812;うつ;2021-01-06;1;1;"0.00";2021-01-06 00:00:00;
3813;うつ;2021-01-09;1;1;"0.00";2021-01-09 00:00:00;
3814;うつ;2021-01-12;1;1;"0.00";2021-01-12 00:00:00;
3815;うつ;2021-01-13;1;1;"0.00";2021-01-13 00:00:00;
3816;うつ;2021-01-15;1;1;"0.00";2021-01-15 00:00:00;
3817;うつ;2021-01-18;1;1;"0.00";2021-01-18 00:00:00;
3818;うつ;2021-01-21;1;1;"0.00";2021-01-21 00:00:00;
3819;うつ;2021-01-24;1;1;"0.00";2021-01-24 00:00:00;
3820;うつ;2021-01-27;1;1;"0.00";2021-01-27 00:00:00;
3821;うつ;2021-01-30;1;1;"0.00";2021-01-30 00:00:00;
3822;うつ;2021-02-02;1;1;"0.00";2021-02-02 00:00:00;
3823;うつ;2021-02-05;1;1;"0.00";2021-02-05 00:00:00;
3824;うつ;2021-02-08;1;1;"0.00";2021-02-08 00:00:00;
3825;うつ;2021-02-11;1;1;"0.00";2021-02-11 00:00:00;
3826;うつ;2021-02-14;1;1;"0.00";2021-02-14 00:00:00;
3827;うつ;2021-02-16;1;1;"0.00";2021-02-16 00:00:00;
3828;うつ;2021-02-17;1;1;"0.00";2021-02-17 00:00:00;
3829;うつ;2021-02-20;1;1;"0.00";2021-02-20 00:00:00;
3830;うつ;2021-02-23;1;1;"0.00";2021-02-23 00:00:00;
3831;うつ;2021-02-26;1;1;"0.00";2021-02-26 00:00:00;
3832;うつ;2021-03-01;1;1;"0.00";2021-03-01 00:00:00;
3833;うつ;2021-03-04;1;1;"0.00";2021-03-04 00:00:00;
3834;うつ;2021-03-07;1;1;"0.00";2021-03-07 00:00:00;
3835;うつ;2021-03-10;1;1;"0.00";2021-03-10 00:00:00;
3836;うつ;2021-03-13;1;1;"0.00";2021-03-13 00:00:00;
3837;うつ;2021-03-16;1;1;"0.00";2021-03-16 00:00:00;
3838;うつ;2021-03-19;1;1;"0.00";2021-03-19 00:00:00;
3839;うつ;2021-03-22;1;1;"0.00";2021-03-22 00:00:00;
3840;うつ;2021-03-25;1;1;"0.00";2021-03-25 00:00:00;
3841;うつ;2021-03-28;1;1;"0.00";2021-03-28 00:00:00;
3842;うつ;2021-03-31;1;1;"0.00";2021-03-31 00:00:00;
3843;うつ;2021-04-03;1;1;"0.00";2021-04-03 00:00:00;
3844;うつ;2021-04-04;1;1;"0.00";2021-04-04 00:00:00;
3845;うつ;2021-04-06;1;1;"0.00";2021-04-06 00:00:00;
3846;うつ;2021-04-09;1;1;"0.00";2021-04-09 00:00:00;
3847;うつ;2021-04-12;1;1;"0.00";2021-04-12 00:00:00;
3848;うつ;2021-04-15;1;1;"0.00";2021-04-15 00:00:00;
3849;うつ;2021-04-18;1;1;"0.00";2021-04-18 00:00:00;
3850;うつ;2021-04-21;1;1;"0.00";2021-04-21 00:00:00;
3851;うつ;2021-04-24;1;1;"0.00";2021-04-24 00:00:00;
3852;うつ;2021-04-27;1;1;"0.00";2021-04-27 00:00:00;
3853;うつ;2021-04-30;1;1;"0.00";2021-04-30 00:00:00;
3854;うつ;2021-05-03;1;1;"0.00";2021-05-03 00:00:00;
3855;うつ;2021-05-06;1;1;"0.00";2021-05-06 00:00:00;
3856;うつ;2021-05-09;1;1;"0.00";2021-05-09 00:00:00;
3857;うつ;2021-05-12;1;1;"0.00";2021-05-12 00:00:00;
3858;うつ;2021-05-15;1;1;"0.00";2021-05-15 00:00:00;
3859;うつ;2021-05-18;1;1;"0.00";2021-05-18 00:00:00;
3860;うつ;2021-05-21;1;1;"0.00";2021-05-21 00:00:00;
3861;うつ;2021-05-24;1;1;"0.00";2021-05-24 00:00:00;
3862;うつ;2021-05-27;2;1;"0.00";2021-05-27 00:00:00;
3863;うつ;2021-05-28;1;1;"0.00";2021-05-28 00:00:00;
3864;うつ;2021-05-30;1;1;"0.00";2021-05-30 00:00:00;
3865;うつ;2021-06-02;1;1;"0.00";2021-06-02 00:00:00;
3866;うつ;2021-06-05;2;1;"0.00";2021-06-05 00:00:00;
3867;うつ;2021-06-08;1;1;"0.00";2021-06-08 00:00:00;
3868;うつ;2021-06-11;1;1;"0.00";2021-06-11 00:00:00;
3869;うつ;2021-06-14;1;1;"0.00";2021-06-14 00:00:00;
3870;うつ;2021-06-17;1;1;"0.00";2021-06-17 00:00:00;
3871;うつ;2021-06-20;2;1;"0.00";2021-06-20 00:00:00;
3872;うつ;2021-06-23;1;1;"0.00";2021-06-23 00:00:00;
3873;うつ;2021-06-26;1;1;"0.00";2021-06-26 00:00:00;
3874;うつ;2021-06-29;1;1;"0.00";2021-06-29 00:00:00;
3875;うつ;2021-07-02;1;1;"0.00";2021-07-02 00:00:00;
3876;うつ;2021-07-05;1;1;"0.00";2021-07-05 00:00:00;
3877;うつ;2021-07-08;1;1;"0.00";2021-07-08 00:00:00;
3878;うつ;2021-07-11;1;1;"0.00";2021-07-11 00:00:00;
3879;うつ;2021-07-14;1;1;"0.00";2021-07-14 00:00:00;
3880;うつ;2021-07-17;1;1;"0.00";2021-07-17 00:00:00;
3881;うつ;2021-07-20;1;1;"0.00";2021-07-20 00:00:00;
3882;うつ;2021-07-23;1;1;"0.00";2021-07-23 00:00:00;
3883;うつ;2021-07-26;1;1;"0.00";2021-07-26 00:00:00;
3884;うつ;2021-07-29;1;1;"0.00";2021-07-29 00:00:00;
3885;うつ;2021-08-01;1;1;"0.00";2021-08-01 00:00:00;
3886;うつ;2021-08-04;1;1;"0.00";2021-08-04 00:00:00;
3887;うつ;2021-08-07;1;1;"0.00";2021-08-07 00:00:00;
3888;うつ;2021-08-10;1;1;"0.00";2021-08-10 00:00:00;
3889;うつ;2021-08-13;1;1;"0.00";2021-08-13 00:00:00;
3890;うつ;2021-08-16;1;1;"0.00";2021-08-16 00:00:00;
3891;うつ;2021-08-19;1;1;"0.00";2021-08-19 00:00:00;
3892;うつ;2021-08-22;1;1;"0.00";2021-08-22 00:00:00;
3893;うつ;2021-08-25;1;1;"0.00";2021-08-25 00:00:00;
3894;うつ;2021-08-28;1;1;"0.00";2021-08-28 00:00:00;
3895;うつ;2021-08-31;1;1;"0.00";2021-08-31 00:00:00;
3896;うつ;2021-09-03;1;1;"0.00";2021-09-03 00:00:00;
3897;うつ;2021-09-06;1;1;"0.00";2021-09-06 00:00:00;
3898;うつ;2021-09-09;1;1;"0.00";2021-09-09 00:00:00;
3899;うつ;2021-09-12;1;1;"0.00";2021-09-12 00:00:00;
3900;うつ;2021-09-15;1;1;"0.00";2021-09-15 00:00:00;
3901;うつ;2021-09-18;1;1;"0.00";2021-09-18 00:00:00;
3902;うつ;2021-09-21;1;1;"0.00";2021-09-21 00:00:00;
3903;うつ;2021-09-24;1;1;"0.00";2021-09-24 00:00:00;
3904;うつ;2021-09-27;1;1;"0.00";2021-09-27 00:00:00;
3905;うつ;2021-09-30;1;1;"0.00";2021-09-30 00:00:00;
3906;うつ;2021-10-03;1;1;"0.00";2021-10-03 00:00:00;
3907;うつ;2021-10-06;1;1;"0.00";2021-10-06 00:00:00;
3908;うつ;2021-10-09;1;1;"0.00";2021-10-09 00:00:00;
3909;うつ;2021-10-12;1;1;"0.00";2021-10-12 00:00:00;
3910;うつ;2021-10-15;1;1;"0.00";2021-10-15 00:00:00;
3911;うつ;2021-10-18;1;1;"0.00";2021-10-18 00:00:00;
3912;うつ;2021-10-21;1;1;"0.00";2021-10-21 00:00:00;
3913;うつ;2021-10-24;1;1;"0.00";2021-10-24 00:00:00;
3914;うつ;2021-10-27;1;1;"0.00";2021-10-27 00:00:00;
3915;うつ;2021-10-30;1;1;"0.00";2021-10-30 00:00:00;
